ACP,2011-04-29,1
ACP,2011-05-31,2
ACP,2011-06-30,3
ACP,2011-07-29,4
ACP,2011-08-31,5
ACP,2011-09-30,6
ACP,2011-10-31,7
ACP,2011-11-30,8
ACP,2011-12-16,9
ACP,2012-01-13,10
ACP,2012-02-29,11
ACP,2012-03-30,12
ACP,2012-04-30,12
ACP,2012-05-31,12
ACP,2012-06-29,12
ACP,2012-07-31,12
ACP,2012-08-31,12
ACP,2012-09-28,12
ACP,2012-10-31,12
ACP,2012-11-30,12
ACP,2012-12-17,12
ACP,2013-01-14,12
ACP,2013-02-28,12
ACP,2013-03-28,12
ACP,2013-04-30,12
ACP,2013-05-31,12
ACP,2013-06-28,12
ACP,2013-07-31,12
ACP,2013-08-30,12
ACP,2013-09-30,12
ACP,2013-10-31,12
ACP,2013-11-29,12
ACP,2013-12-16,12
ACP,2014-01-14,13
ACP,2014-02-28,13
ACP,2014-03-31,13
ACP,2014-04-30,13
ACP,2014-05-30,13
ACP,2014-06-30,13
ACP,2014-07-31,13
ACP,2014-08-29,13
ACP,2014-09-30,13
ACP,2014-10-31,13
ACP,2014-11-28,13
ACP,2014-12-16,13
ACP,2015-01-14,13
ACP,2015-02-27,13
ACP,2015-03-31,13
ACP,2015-04-30,13
ACP,2015-05-29,13
ACP,2015-06-30,13
ACP,2015-07-31,13
ACP,2015-08-31,13
ACP,2015-09-30,13
ACP,2015-10-30,13
ACP,2015-11-30,13
ACP,2015-12-16,13
ACP,2016-01-14,12
ACP,2016-02-29,12
ACP,2016-03-31,12
ACP,2016-04-29,12
ACP,2016-05-31,12
ACP,2016-06-30,12
ACP,2016-07-29,12
ACP,2016-08-31,12
ACP,2016-09-30,12
ACP,2016-10-31,12
ACP,2016-11-30,12
ACP,2016-12-16,12
ACP,2017-01-17,12
ACP,2017-02-28,12
ACP,2017-03-31,12
